Oogstdatum,Oogstjaar,Perceel,Ras,Tonnen,Koeling of,Datum laatste bespuiting,Middel en dosering/ha,Veiligheidstermijn (dgn.),Opmerkingen
29-Sep,2016,2b,elstar,18,koeling  ,16-Aug,"Bellis 0,8 kg",7,
30-Sep,2016,2b,elstar,3.6,koeling  ,16-Aug,"Bellis 0,8 kg",7,
01-Oct,2016,2a-b,kroet,22.2,afgezet,16-Aug,"Bellis 0,8 kg",7,
03-Oct,2016,6,Joly-red,10.8,koeling  ,11-Sep,"Switch 0,8 kg",7,
04-Oct,2016,6,Joly-red,8.4,koeling  ,11-Sep,"Switch 0,8 kg",7,
05-Oct,2016,4,Joly-red,14.4,koeling  ,11-Sep,"Switch 0,8 kg",7,
06-Oct,2016,4,Joly-red,6,koeling  ,11-Sep,"Switch 0,8 kg",7,
07-Oct,2016,4,Joly-red,2.4,koeling  ,11-Sep,"Switch 0,8 kg",7,
08-Oct,2016,4 – 6,kroet,12.3,afgezet,11-Sep,"Switch 0,8 kg",7,
08-Oct,2016,5,junami,4.2,koeling  ,30-Sep,"Switch 0,8 kg",7,
10-Oct,2016,5,junami,9.6,koeling  ,30-Sep,"Switch 0,8 kg",7,
11-Oct,2016,5,junami,11.4,koeling  ,30-Sep,"Switch 0,8 kg",7,
12-Oct,2016,5,junami,12,koeling  ,30-Sep,"Switch 0,8 kg",7,
13-Oct,2016,5,junami,10.2,koeling  ,30-Sep,"Switch 0,8 kg",7,
13-Oct,2016,6,Joly-red,4.8,koeling  ,11-Sep,"Switch 0,8 kg",7,
14-Oct,2016,6,Joly-red,10.2,koeling  ,11-Sep,"Switch 0,8 kg",7,
14-Oct,2016,5,junami,3,koeling  ,30-Sep,"Switch 0,8 kg",7,
15-Oct,2016,4,Joly-red,6,koeling  ,11-Sep,"Switch 0,8 kg",7,
15-Oct,2016,4a-5-6,kroet,3.9,afgezet,30-Sep,"Switch 0,8 kg",7,4a verhageld/23-06
17-Oct,2016,4,Joly-red,10.5,koeling  ,11-Sep,"Switch 0,8 kg",7,
17-Oct,2016,2c,junami,2.4,koeling  ,30-Sep,"Switch 0,8 kg",7,
18-Oct,2016,2c,junami,18.6,koeling  ,30-Sep,"Switch 0,8 kg",7,
19-Oct,2016,2c,junami,12.6,koeling  ,30-Sep,"Switch 0,8 kg",7,
20-Oct,2016,2c,junami,12.9,koeling  ,30-Sep,"Switch 0,8 kg",7,
21-Oct,2016,2c,junami,4.2,koeling  ,30-Sep,"Switch 0,8 kg",7,
22-Oct,2016,2c,junami,5.4,koeling  ,30-Sep,"Switch 0,8 kg",7,
22-Oct,2016,4a-2c,kroet,11.7,afgezet,30-Sep,"Switch 0,8 kg",7,4a verhageld/23-06
24-Oct,2016,2c,junami,6,koeling  ,30-Sep,"Switch 0,8 kg",7,
25-Oct,2016,5,junami,15.6,koeling  ,30-Sep,"Switch 0,8 kg",7,
26-Oct,2016,5,junami,12.9,koeling  ,30-Sep,"Switch 0,8 kg",7,
27-Oct,2016,5,junami,12.9,koeling  ,30-Sep,"Switch 0,8 kg",7,
28-Oct,2016,3,kroet,22.8,afgezet,28-Jun,"Captan 1,5",21,3 verhageld/23-06
29-Oct,2016,2c-5,junami,6.3,koeling  ,30-Sep,"Switch 0,8 kg",7,3 verhageld/23-06
31-Oct,2016,3,kroet,16.8,afgezet,28-Jun,"Captan 1,5",21,3 verhageld/23-06
01-Nov,2016,3,kroet,16.2,afgezet,28-Jun,"Captan 1,5",21,3 verhageld/23-06
02-Nov,2016,3,kroet,13.2,afgezet,28-Jun,"Captan 1,5",21,3 verhageld/23-06
03-Nov,2016,3,kroet,13.8,afgezet,28-Jun,"Captan 1,5",21,3 verhageld/23-06
31-08-15,2015,1,Zari,3,afgezet,22-Jul,"1,5kg captan w7",28,
03-09-15,2015,3,Elstar,4.2,afgezet,14-Aug,"0,6kg captan w6",7,
04-09-15,2015,3,Elstar,4.5,afgezet,14-aug,"0,6kg captan w6",7,
05-09-15,2015,1,Zari,0.3,afgezet,22-Jul,"1,5kg captan w7",28,
06-09-15,2015,1,Zari,0.9,afgezet,22-Jul,"1,5kg captan w7",28,
07-09-15,2015,1,Zari,3.6,afgezet,22-Jul,"1,5kg captan w7",28,
07-09-15,2015,3,Elstar,2.4,afgezet,14-Aug,"0,6kg captan w6",7,
08-09-15,2015,3,Elstar,6,koeling,14-Aug,"0,6kg captan w6",7,
09-09-15,2015,3,Elstar,11.7,koeling,14-aug,"0,6kg captan w6",7,
10-09-15,2015,3,Elstar,11.4,koeling,14-Aug,"0,6kg captan w6",7,
11-09-15,2015,3,Elstar,9,koeling,14-aug,"0,6kg captan w6",7,
11-09-15,2015,2b,Elstar,2.4,koeling,14-Aug,"0,6kg captan w6",7,
12-09-15,2015,1,Zari,0.9,afgezet,22-Jul,"1,5kg captan w7",28,
12-09-15,2015,3,kroet,2.7,afgezet,14-Aug,"0,6kg captan w6",7,
14-09-15,2015,2b,Elstar,3.6,koeling,14-aug,"0,6kg captan w6",7,
15-09-15,2015,2b,Elstar,3.3,koeling,14-Aug,"0,6kg captan w6",7,
16-09-15,2015,2b,Elstar,3.6,koeling,14-Aug,"0,6kg captan w6",7,
17-09-15,2015,2b,Elstar,12,koeling,14-Aug,"0,6kg captan w6",7,
18-09-15,2015,2b,Elstar,13.5,koeling,14-Aug,"0,6kg captan w6",7,
19-09-15,2015,1,Zari,1.8,afgezet,22-Jul,"1,5kg captan w7",28,
19-09-15,2015,2b,kroet,1.5,afgezet,14-aug,"0,6kg captan w6",7,
21-09-15,2015,3,Elstar,17.1,koeling,14-aug,"0,6kg captan w6",7,
22-09-15,2015,3,Elstar,11.4,koeling,14-aug,"0,6kg captan w6",7,
23-09-15,2015,3,Elstar,12.6,koeling,14-aug,"0,6kg captan w6",7,
