Oogstdatum,Oogstjaar,Perceel,Ras,Tonnen,Koeling of,Datum laatste bespuiting,Middel en dosering/ha,Veiligheidstermijn (dgn.),Opmerkingen
16-Oct,2013,2c-5,junami,16.2,koeling,28-Sep,"switsch 0,8kg",3,
17-Oct,2013,2c,junami,13.5,koeling,28-Sep,"switsch 0,8kg",3,
18-Oct,2013,2c,junami,8.7,koeling,28-Sep,"switsch 0,8kg",3,
18-Oct,2013,2c-5,moes,7.8,afgezet,28-Sep,"switsch 0,8kg",3,
21-Oct,2013,4a,jonagored,8.1,koeling,23-Sep,"switsch 0,8kg",3,
23-Oct,2013,5,junami,2.7,koeling,28-Sep,"switsch 0,8kg",3,
24-Oct,2013,5,junami,9.6,koeling,28-Sep,"switsch 0,8kg",3,
25-Oct,2013,5,junami,13.2,koeling,28-Sep,"switsch 0,8kg",3,
25-Oct,2013,4a-5,moes,5.4,afgezet,28-Sep,"switsch 0,8kg",3,
29-Oct,2013,2c,junami,9.3,koeling,28-Sep,"switsch 0,8kg",3,
30-Oct,2013,2c,junami,10.5,koeling,28-Sep,"switsch 0,8kg",3,
31-Oct,2013,2c,junami,6,koeling,28-Sep,"switsch 0,8kg",3,
31-Oct,2013,4a,jonagored,4.5,koeling,23-Sep,"switsch 0,8kg",3,
31-Oct,2013,2c-4a,moes,5.1,afgezet,28-Sep,"switsch 0,8kg",3,
03-Sep,2012,2b,elstar,1.2,koeling,22-Aug,"captan 0,7kg",7,
04-Sep,2012,2b,elstar,1.2,koeling,22-Aug,"captan 0,7kg",7,
06-Sep,2012,2b,elstar,1.8,koeling,22-Aug,"captan 0,7kg",7,
07-Sep,2012,2b,elstar,1.8,koeling,22-Aug,"captan 0,7kg",7,
07-Sep,2012,3,elstar,5.4,koeling,22-Aug,"captan 0,7kg",7,
08-Sep,2012,3,elstar,4.5,koeling,22-Aug,"captan 0,7kg",7,
10-Sep,2012,3,elstar,11.7,koeling,22-Aug,"captan 0,7kg",7,
11-Sep,2012,3,elstar,15.3,koeling,22-Aug,"captan 0,7kg",7,
12-Sep,2012,3,elstar,12,koeling,22-Aug,"captan 0,7kg",7,
