Categorie,Subcategorie,Rekening,Omschrijving,Boekjaar, Bedrag , OOP Breaburn , OOP Delcorf , OOP Elstar , OOP Golden , OOP Joly-Red , OOP Jonagold , OOP Jonagored , OOP Junami , OOP kroet/industrie appels , OOP Milwa ,Bedrag Genormaliseerd
Kosten,Kosten,Koelen,Koelloon,2011,13225.26,0.00,15.37,4011.05,2269.13,0.00,3178.35,732.02,2615.68,0.00,403.66,13225.26
Kosten,Kosten,Algemeen Junami,Kosten Junami,2011,-1065.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1065.83,0.00,0.00,1065.83
Kosten,Kosten,Algemeen,Onvoorziene kosten,2011,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Opbrengsten,Bonus,Resultaatbonus,2011,0.00,,,,,,,,,,,0.00
Kosten,Kosten,Sorteren,Sorteerkosten,2011,8303.88,0.00,9.65,2518.46,1424.74,0.00,1995.62,459.62,1642.33,0.00,253.45,8303.88
Kosten,Balans,Etiketteren,Stikkeren,2011,0.00,,,,,,,,,,,0.00
Kosten,Kosten,Algemeen,Touw/diverse,2011,349.50,0.00,0.30,79.13,44.76,0.00,62.70,14.44,51.60,88.61,7.96,349.50
Kosten,Kosten,Zorgsystemen,Zorgsystemen,2011,250.00,0.00,0.22,56.60,32.02,0.00,44.85,10.33,36.91,63.38,5.70,250.00
Kosten,Balans,BTW,BTW,2011,-6592.20,,,,,,,,,,,6592.20
Kosten,Kosten,Vracht,vrachtkosten,2011,3168.50,0.00,2.75,717.33,405.81,0.00,568.41,130.91,467.79,803.30,72.19,3168.50
Aanvoer,Opbrengsten,Omzet,Productomzet,2012,-278008.48,,,,,,,,,,,278008.48
Aanvoer,Balans,Fust,Fust eenmalig,2012,-4063.15,,,,,,,,,,,4063.15
Aanvoer,Balans,Fust,Fust meermalig,2012,-141336.62,,,,,,,,,,,141336.62
Aanvoer,Balans,Fust,Fust huur terugbet.,2012,-5358.18,,,,,,,,,,,5358.18
Aanvoer,Balans,Verpakking,Verpakkingskosten,2012,-960.00,,,,,,,,,,,960.00
Aanvoer,Balans,Pallet,Pallet eenmalig,2012,-999.95,,,,,,,,,,,999.95
Aanvoer,Balans,Pallet,Pallet meermalig,2012,-3524.99,,,,,,,,,,,3524.99
Aanvoer,Kosten,Productheffing,Productheffing,2012,2432.87,0.00,4.41,1168.19,248.16,0.00,125.95,176.61,346.39,309.41,53.74,2432.87
Aanvoer,Kosten,Provisie,Provisie lid,2012,10836.24,0.00,19.66,5203.25,1105.32,0.00,560.99,786.65,1542.87,1378.13,239.37,10836.24
Aanvoer,Kosten,Royalty Junami,Royaltykst Junami,2012,396.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,396.84,0.00,0.00,396.84
Aanvoer,Kosten,Promotie Junami,Promotiekst Junami,2012,2182.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2182.43,0.00,0.00,2182.43
Aanvoer,Kosten,Productheffing Junami,Heffingskst Junami,2012,1785.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1785.62,0.00,0.00,1785.62
Fust,Balans,Fust,Fust m.m. Ingel. Aanvo.,2012,182236.11,,,,,,,,,,,182236.11
Kosten,Balans,Voorschot Junami,Voorschot Junami,2012,22575.00,,,,,,,,,,,22575.00
Kosten,Kosten,Administratie,Aanvoerboek,2012,18.16,0.00,0.03,8.72,1.85,0.00,0.94,1.32,2.59,2.31,0.40,18.16
Kosten,Kosten,Administratie,Administratiekosten,2012,57.63,0.00,0.10,27.67,5.88,0.00,2.98,4.18,8.21,7.33,1.27,57.63
Kosten,Kosten,Analyse,Analysekosten,2012,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Preventie,Crisispreventie,2012,1682.89,0.00,3.05,808.07,171.66,0.00,87.12,122.17,239.61,214.03,37.17,1682.89
Kosten,Kosten,Fust,Fustbon,2012,2.07,0.00,0.00,0.99,0.21,0.00,0.11,0.15,0.29,0.26,0.05,2.07
Kosten,Kosten,Koelen,Koelloon,2012,14418.72,0.00,29.96,7932.26,1685.05,0.00,855.22,1199.24,2352.07,0.00,364.91,14418.72
Kosten,Kosten,Algemeen Junami,Kosten Junami,2012,-17060.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17060.38,0.00,0.00,17060.38
Kosten,Kosten,Algemeen,Onvoorziene kosten,2012,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Opbrengsten,Bonus,Resultaatbonus,2012,-2250.91,,,,,,,,,,,2250.91
Kosten,Kosten,Sorteren,Sorteerkosten,2012,23486.25,0.00,48.81,12920.63,2744.73,0.00,1393.05,1953.41,3831.23,0.00,594.39,23486.25
Kosten,Balans,Etiketteren,Stikkeren,2012,0.00,,,,,,,,,,,0.00
Kosten,Kosten,Algemeen,Touw/diverse,2012,32.25,0.00,0.06,15.49,3.29,0.00,1.67,2.34,4.59,4.10,0.71,32.25
Kosten,Kosten,Zorgsystemen,Zorgsystemen,2012,150.00,0.00,0.27,72.03,15.30,0.00,7.77,10.89,21.36,19.08,3.31,150.00
Kosten,Balans,BTW,BTW,2012,-12160.97,,,,,,,,,,,12160.97
Kosten,Kosten,Vracht,vrachtkosten,2012,5118.57,0.00,9.28,2457.79,522.11,0.00,264.99,371.58,728.78,650.97,113.07,5118.57
Kosten,Kosten,Algemeen,contributie leden,2012,100.00,0.00,0.18,48.02,10.20,0.00,5.18,7.26,14.24,12.72,2.21,100.00
Kosten,Kosten,Smart Fresh,kst smart fresh,2012,659.72,0.00,1.20,316.78,67.29,0.00,34.15,47.89,93.93,83.90,14.57,659.72
Aanvoer,Balans,Algemeen Junami,verkoopmarge junami,2012,396.79,,,,,,,,,,,396.79
Aanvoer,Opbrengsten,Omzet,Productomzet,2013,-237971.49,,,,,,,,,,,237971.49
Aanvoer,Balans,Fust,Fust eenmalig,2013,-2373.49,,,,,,,,,,,2373.49
Aanvoer,Balans,Fust,Fust meermalig,2013,-85137.36,,,,,,,,,,,85137.36
Aanvoer,Balans,Fust,Fust huur terugbet.,2013,-4120.09,,,,,,,,,,,4120.09
Aanvoer,Balans,Verpakking,Verpakkingskosten,2013,-492.76,,,,,,,,,,,492.76
Aanvoer,Balans,Pallet,Pallet eenmalig,2013,-715.33,,,,,,,,,,,715.33
Aanvoer,Balans,Pallet,Pallet meermalig,2013,-2245.65,,,,,,,,,,,2245.65
Aanvoer,Kosten,Productheffing,Productheffing,2013,1655.60,0.00,0.00,485.26,223.51,0.00,383.76,0.00,200.34,283.03,79.71,1655.60
Aanvoer,Kosten,Provisie,Provisie lid,2013,9635.00,0.00,0.00,2824.02,1300.75,0.00,2233.32,0.00,1165.88,1647.12,463.90,9635.00
Aanvoer,Kosten,Royalty Junami,Royaltykst Junami,2013,579.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,579.85,0.00,0.00,579.85
Aanvoer,Kosten,Promotie Junami,Promotiekst Junami,2013,1328.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1328.87,0.00,0.00,1328.87
Aanvoer,Kosten,Productheffing Junami,Heffingskst Junami,2013,1087.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1087.26,0.00,0.00,1087.26
Fust,Balans,Fust,Fust m.m. Ingel. Aanvo.,2013,88322.15,,,,,,,,,,,88322.15
Kosten,Balans,Voorschot Junami,Voorschot Junami,2013,18075.00,,,,,,,,,,,18075.00
Kosten,Kosten,Administratie,Aanvoerboek,2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Administratie,Administratiekosten,2013,54.24,0.00,0.00,15.90,7.32,0.00,12.57,0.00,6.56,9.27,2.61,54.24
Kosten,Kosten,Analyse,Analysekosten,2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Preventie,Crisispreventie,2013,2254.00,0.00,0.00,660.65,304.30,0.00,522.46,0.00,272.75,385.32,108.52,2254.00
Kosten,Kosten,Fust,Fustbon,2013,0.23,0.00,0.00,0.07,0.03,0.00,0.05,0.00,0.03,0.04,0.01,0.23
Kosten,Kosten,Koelen,Koelloon,2013,12700.05,0.00,0.00,4489.95,2068.09,0.00,3550.79,0.00,1853.65,0.00,737.56,12700.05
Kosten,Kosten,Algemeen Junami,Kosten Junami,2013,7819.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7819.04,0.00,0.00,7819.04
Kosten,Kosten,Algemeen,Onvoorziene kosten,2013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Opbrengsten,Bonus,Resultaatbonus,2013,0.00,,,,,,,,,,,0.00
Kosten,Kosten,Sorteren,Sorteerkosten,2013,22249.09,0.00,0.00,7865.90,3623.06,0.00,6220.60,0.00,3247.40,0.00,1292.13,22249.09
Kosten,Balans,Etiketteren,Stikkeren,2013,0.00,,,,,,,,,,,0.00
Kosten,Kosten,Algemeen,Touw/diverse,2013,75.00,0.00,0.00,21.98,10.13,0.00,17.38,0.00,9.08,12.82,3.61,75.00
Kosten,Kosten,Zorgsystemen,Zorgsystemen,2013,150.00,0.00,0.00,43.97,20.25,0.00,34.77,0.00,18.15,25.64,7.22,150.00
Kosten,Balans,BTW,BTW,2013,-9160.68,,,,,,,,,,,9160.68
Kosten,Kosten,Vracht,vrachtkosten,2013,6490.90,0.00,0.00,1902.48,876.29,0.00,1504.54,0.00,785.43,1109.63,312.52,6490.90
Kosten,Kosten,Algemeen,contributie leden,2013,100.00,0.00,0.00,29.31,13.50,0.00,23.18,0.00,12.10,17.10,4.81,100.00
Kosten,Kosten,Smart Fresh,kst smart fresh,2013,918.75,0.00,0.00,269.29,124.03,0.00,212.96,0.00,111.17,157.06,44.24,918.75
Aanvoer,Balans,Algemeen Junami,verkoopmarge junami,2013,241.65,,,,,,,,,,,241.65
Kosten,Balans,Aankopen,bomen aankoop,2013,15187.50,,,,,,,,,,,15187.50
Aanvoer,Opbrengsten,Omzet,Productomzet,2014,-208015.66,,,,,,,,,,,208015.66
Aanvoer,Balans,Fust,Fust eenmalig,2014,-8196.54,,,,,,,,,,,8196.54
Aanvoer,Balans,Fust,Fust meermalig,2014,-79530.66,,,,,,,,,,,79530.66
Aanvoer,Balans,Fust,Fust huur terugbet.,2014,-4173.28,,,,,,,,,,,4173.28
Aanvoer,Balans,Verpakking,Verpakkingskosten,2014,-1226.13,,,,,,,,,,,1226.13
Aanvoer,Balans,Pallet,Pallet eenmalig,2014,-1603.91,,,,,,,,,,,1603.91
Aanvoer,Balans,Pallet,Pallet meermalig,2014,-2368.14,,,,,,,,,,,2368.14
