Categorie,Subcategorie,Rekening,Omschrijving,Boekjaar, Bedrag , OOP Breaburn , OOP Delcorf , OOP Elstar , OOP Golden , OOP Joly-Red , OOP Jonagold , OOP Jonagored , OOP Junami , OOP kroet/industrie appels , OOP Milwa ,Bedrag Genormaliseerd
Fust,Balans,Fust,Fust m.m. Ingel. Aanvo.,2016,0.00,,,,,,,,,,,0.00
Kosten,Balans,Voorschot Junami,Voorschot Junami,2016,0.00,,,,,,,,,,,0.00
Kosten,Kosten,Administratie,Aanvoerboek,2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Administratie,Administratiekosten,2016,47.46,0.00,0.00,9.42,5.56,6.37,0.00,0.00,10.06,13.96,2.08,47.46
Kosten,Kosten,Analyse,Analysekosten,2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Preventie,Crisispreventie,2016,2741.27,0.00,0.00,544.34,320.95,368.19,0.00,0.00,581.30,806.28,120.21,2741.27
Kosten,Kosten,Fust,Fustbon,2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Koelen,Koelloon,2016,3025.30,0.00,0.00,851.05,501.79,575.66,0.00,0.00,908.85,0.00,187.95,3025.30
Kosten,Kosten,Algemeen Junami,Kosten Junami,2016,7538.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7538.48,0.00,0.00,7538.48
Kosten,Kosten,Algemeen Joly-Red,kosten joly-red,2016,11736.00,0.00,0.00,0.00,0.00,11736.00,0.00,0.00,0.00,0.00,0.00,11736.00
Kosten,Kosten,Algemeen,Onvoorziene kosten,2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Opbrengsten,Bonus,Resultaatbonus,2016,-5450.53,,,,,,,,,,,5450.53
Kosten,Kosten,Sorteren,Sorteerkosten,2016,43425.73,0.00,0.00,12216.18,7202.77,8263.09,0.00,0.00,13045.78,0.00,2697.91,43425.73
Kosten,Balans,Etiketteren,Stikkeren,2016,0.00,,,,,,,,,,,0.00
Kosten,Kosten,Algemeen,Touw/diverse,2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Zorgsystemen,Zorgsystemen,2016,400.00,0.00,0.00,79.43,46.83,53.73,0.00,0.00,84.82,117.65,17.54,400.00
Kosten,Balans,BTW,BTW,2016,-10560.96,,,,,,,,,,,10560.96
Kosten,Kosten,Vracht,vrachtkosten,2016,7626.42,0.00,0.00,1514.38,892.89,1024.34,0.00,0.00,1617.22,2243.14,334.45,7626.42
Kosten,Kosten,Algemeen,contributie leden,2016,100.00,0.00,0.00,19.86,11.71,13.43,0.00,0.00,21.21,29.41,4.39,100.00
Kosten,Kosten,Smart Fresh,kst smart fresh,2016,6650.00,0.00,0.00,1320.49,778.58,893.19,0.00,0.00,1410.17,1955.94,291.63,6650.00
Aanvoer,Balans,Algemeen Junami,verkoopmarge junami,2016,0.00,,,,,,,,,,,0.00
Kosten,Balans,Aankopen,bomen aankoop,2016,0.00,,,,,,,,,,,0.00
Kosten,Kosten,Opslag,opslag voorraadbakken,2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aanvoer,Opbrengsten,Omzet,Productomzet,2017,-222513.04,,,,,,,,,,,222513.04
Aanvoer,Balans,Fust,Fust eenmalig,2017,0.00,,,,,,,,,,,0.00
Aanvoer,Balans,Fust,Fust meermalig,2017,0.00,,,,,,,,,,,0.00
Aanvoer,Balans,Fust,Fust huur terugbet.,2017,0.00,,,,,,,,,,,0.00
Aanvoer,Balans,Verpakking,Verpakkingskosten,2017,0.00,,,,,,,,,,,0.00
Aanvoer,Balans,Pallet,Pallet eenmalig,2017,0.00,,,,,,,,,,,0.00
Aanvoer,Balans,Pallet,Pallet meermalig,2017,0.00,,,,,,,,,,,0.00
Aanvoer,Kosten,Productheffing,Productheffing,2017,1829.04,0.00,0.00,264.57,320.10,315.99,0.00,0.00,536.30,263.83,128.24,1829.04
Aanvoer,Kosten,Provisie,Provisie lid,2017,9149.35,0.00,0.00,1323.44,1601.24,1580.69,0.00,0.00,2682.73,1319.76,641.49,9149.35
Aanvoer,Kosten,Royalty Junami,Royaltykst Junami,2017,1503.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1503.49,0.00,0.00,1503.49
Aanvoer,Kosten,Algemeen Inova,organisatiekostem inova,2017,2328.87,0.00,0.00,336.87,407.58,402.35,0.00,0.00,682.86,335.93,163.28,2328.87
Aanvoer,Kosten,Marketing Junami,marketingkstn junami,2017,3445.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3445.49,0.00,0.00,3445.49
Aanvoer,Kosten,Algemeen Marketing,internale marketingskst,2017,776.38,0.00,0.00,112.30,135.88,134.13,0.00,0.00,227.65,111.99,54.43,776.38
Aanvoer,Kosten,Promotie Junami,Promotiekst Junami,2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aanvoer,Kosten,Productheffing Junami,Heffingskst Junami,2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fust,Balans,Fust,Fust m.m. Ingel. Aanvo.,2017,-77.20,,,,,,,,,,,77.20
Kosten,Balans,Voorschot Junami,Voorschot Junami,2017,0.00,,,,,,,,,,,0.00
Kosten,Kosten,Administratie,Aanvoerboek,2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Administratie,Administratiekosten,2017,40.68,0.00,0.00,5.88,7.12,7.03,0.00,0.00,11.93,5.87,2.85,40.68
Kosten,Kosten,Analyse,Analysekosten,2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Preventie,Crisispreventie,2017,-2583.70,0.00,0.00,373.73,452.18,446.37,0.00,0.00,757.58,372.69,181.15,2583.70
Kosten,Kosten,Fust,Fustbon,2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Koelen,Koelloon,2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Algemeen Junami,Kosten Junami,2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Algemeen Joly-Red,kosten joly-red,2017,-8104.12,0.00,0.00,0.00,0.00,8104.12,0.00,0.00,0.00,0.00,0.00,8104.12
Kosten,Kosten,Algemeen,Onvoorziene kosten,2017,-1836.61,0.00,0.00,265.66,321.43,317.30,0.00,0.00,538.52,264.92,128.77,1836.61
Kosten,Opbrengsten,Bonus,Resultaatbonus,2017,0.00,,,,,,,,,,,0.00
Kosten,Kosten,Sorteren,Sorteerkosten,2017,45754.56,0.00,0.00,7733.93,9357.35,9237.23,0.00,0.00,8561.92,0.00,3748.72,45754.56
Kosten,Balans,Etiketteren,Stikkeren,2017,0.00,,,,,,,,,,,0.00
Kosten,Kosten,Algemeen,Touw/diverse,2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Zorgsystemen,Zorgsystemen,2017,400.00,0.00,0.00,57.86,70.00,69.11,0.00,0.00,117.29,57.70,28.05,400.00
Kosten,Balans,BTW,BTW,2017,-7844.98,,,,,,,,,,,7844.98
Kosten,Kosten,Vracht,vrachtkosten,2017,7750.60,0.00,0.00,1121.12,1356.45,1339.03,0.00,0.00,2272.59,1118.00,543.42,7750.60
Kosten,Kosten,Algemeen,contributie leden,2017,100.00,0.00,0.00,14.46,17.50,17.28,0.00,0.00,29.32,14.42,7.01,100.00
Kosten,Kosten,Smart Fresh,kst smart fresh,2017,4185.00,0.00,0.00,605.36,732.42,723.02,0.00,0.00,1227.11,603.67,293.42,4185.00
Aanvoer,Balans,Algemeen Junami,verkoopmarge junami,2017,0.00,,,,,,,,,,,0.00
Kosten,Balans,Aankopen,bomen aankoop,2017,0.00,,,,,,,,,,,0.00
Kosten,Kosten,Opslag,opslag voorraadbakken,2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
